x1,x2
0.0,0.029906988608730815
4.3352535591719746e-5,0.13372672599801358
0.0004970328862250717,0.17348394101719178
0.0005530609941459437,0.21083711272785535
0.0006843183631219566,0.2394052054239633
0.0008777532172584693,0.25285390881568975
0.000914037181319705,0.2637506170155245
0.0010690455727989114,0.27588767277103793
0.0011582633696162296,0.2903685745531805
0.001180469201265912,0.3000437253710701
0.001255011460809333,0.3009095703603135
0.0013605258148226523,0.30107465355438834
0.0014572227751559195,0.3073340564451961
0.0015649390593218194,0.3121104910538215
0.0014993167185961868,0.3168527210096715
0.00153657269136962,0.31720045241175293
0.001595737945084149,0.32063969774153395
0.0015615550378225442,0.3199343539934017
0.001646469833290064,0.3199613748816035
0.001564941852693645,0.3178762031454822
0.0016614026169839325,0.3228176603025084
0.0017196314605152662,0.32637966475212105
0.001793570423852152,0.3267182670835783
0.0017247929432093318,0.3304501379320694
0.0017450475130888685,0.33079715814182603
0.0017681201957594355,0.3323959970795951
0.0017110918328571967,0.33353220099848796
0.0017046437884689215,0.33433599025896366
