x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
512.4519163071612,0.005381377381828892,0.007,0.097,0.004,0.103,0.478,0.619,0.596,0.0,0.0,0.002,0.143,453.828,1378.223
519.2715997013984,0.0009905818324665251,0.008,0.095,0.002,0.101,0.394,0.557,0.698,0.0,0.0,0.003,0.133,444.564,1412.235
449.56013426025345,0.0014909393878638276,0.011,0.092,0.004,0.1,0.457,0.622,0.7,0.0,0.0,0.01,0.157,429.346,1344.647
503.78052712829594,0.006035027426479614,0.011,0.094,0.004,0.102,0.485,0.587,0.682,0.0,0.0,0.014,0.147,449.656,1406.238
449.9576189345586,0.009162856548751729,0.011,0.094,0.004,0.101,0.479,0.61,0.722,0.0,0.0,0.017,0.149,424.357,1322.553
473.1441470433773,0.0014244728543774078,0.008,0.096,0.004,0.101,0.46,0.546,0.658,0.0,0.0,0.025,0.107,455.483,1409.92
501.68342314972944,0.0027996077863844224,0.011,0.094,0.005,0.101,0.523,0.6,0.849,0.0,0.0,0.016,0.156,432.054,1344.219
569.7982947758529,0.0009953377726890117,0.012,0.095,0.007,0.102,0.534,0.564,0.783,0.0,0.0,0.014,0.151,615.055,2992.103
380.24146455451734,0.004622294801474582,0.009,0.093,0.004,0.1,0.418,0.528,0.721,0.0,0.003,0.004,0.126,578.364,1922.336
584.6960905626903,0.008800456063966395,0.009,0.096,0.003,0.102,0.395,0.438,0.78,0.0,0.002,0.029,0.113,583.285,1782.954
406.0447848525207,0.0015356442378360515,0.012,0.095,0.005,0.102,0.402,0.53,0.815,0.0,0.001,0.03,0.128,549.067,1716.079
634.5294245541072,0.0005159761086673548,0.007,0.093,0.002,0.099,0.261,0.514,0.659,0.0,0.0,0.024,0.144,483.535,1592.544
581.418730250635,0.0003702666016870717,0.01,0.094,0.002,0.101,0.381,0.47,0.814,0.0,0.0,0.02,0.148,469.794,1536.559
692.6637065075663,0.0004743421635481947,0.008,0.096,0.001,0.103,0.238,0.567,0.781,0.0,0.0,0.014,0.161,476.176,1510.295
