x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
4047.312573023824,4.059394962494783,0.015,0.169,0.021,1218.976,836.001,1433.161,0.036,0.0,0.036,0.146,41.683,906.247
11523.285948619197,4.658218141831365,0.029,0.141,0.018,732.491,701.096,1434.69,0.036,0.0,0.043,0.225,50.534,1375.902
20083.655150658804,10.985286269074033,0.048,0.146,0.016,552.339,564.894,1436.673,0.036,0.0,0.04,0.291,45.27,1457.353
28570.64727989794,14.225343864703586,0.061,0.153,0.02,444.318,553.943,1432.19,0.036,0.0,0.046,0.325,59.586,18555.879
38254.82077737416,17.41904573212905,0.076,0.149,0.017,419.828,495.36,1434.652,0.035,0.0,0.047,0.349,45.532,1546.915
48680.97083686596,24.44263333971627,0.075,0.155,0.014,404.179,463.387,1436.433,0.035,0.0,0.044,0.361,46.316,1607.653
57841.6240869888,28.463020962469347,0.069,0.166,0.013,424.339,419.952,1439.0,0.035,0.0,0.047,0.365,52.34,1677.537
67736.55077687067,34.62013909471466,0.064,0.173,0.013,438.875,419.111,1439.044,0.035,0.0,0.049,0.362,57.0,1807.373
79125.24288814286,38.984436814506495,0.049,0.172,0.013,500.707,374.911,1438.653,0.035,0.0,0.048,0.325,55.385,1914.264
