x1,x2,x3,x4,x5,x6,x7,x8;;;;;;;;;;;;;;;
26.59391955860879,0.0,0.18563926940639275,0.24763127853881275,0.706,290.089,0.00043433149834766786,0.0003587655774750314;;;;;;;;;;;;;;;1
539.5425959502014,0.0,0.04867389649923895,0.12127473363774735,0.488,237.784,0.0008071424566126311,0.0036723641331893723;;;;;;;;;;;;;;;2
8885.941821312932,0.0,0.025530821917808214,0.08821917808219179,0.612,255.005,0.01165635358887557,0.03405245416288017;;;;;;;;;;;;;;;3
20157.359539845307,0.0,0.0253900304414003,0.0887347792998478,0.64,269.534,0.019264476544682933,0.05865516278635352;;;;;;;;;;;;;;;4
33505.75752926702,0.0,0.026139649923896495,0.09024543378995434,0.512,296.405,0.019384656815258614,0.07010182306456884;;;;;;;;;;;;;;;5
44305.61415513682,0.0,0.02537290715372907,0.09190068493150684,0.541,336.841,0.022202575026295,0.08636112061211848;;;;;;;;;;;;;;;6
66491.85713206569,0.0,0.02456430745814307,0.08593417047184171,0.633,453.218,0.025661439749107333,0.11019829261591471;;;;;;;;;;;;;;;7
83563.6252694626,0.0,0.02823630136986301,0.0865353881278539,3.847,4930.672,0.03046929854325147,0.13032167164766376;;;;;;;;;;;;;;;8
96503.31005177833,0.0,0.030527016742770176,0.085367199391172,3.794,5491.104,0.03293123449522556,0.14298151684749325;;;;;;;;;;;;;;;9
