x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
4023.7482710533163,4.059394962494783,0.015,0.169,0.021,1218.056,836.323,1433.213,0.036,0.0,0.036,0.145,41.999,903.797
11501.94961366586,4.656714331225972,0.029,0.141,0.018,731.468,701.469,1434.693,0.036,0.0,0.042,0.225,50.604,1372.669
20038.389903469557,10.83142440018902,0.048,0.145,0.016,551.033,567.136,1436.671,0.036,0.0,0.04,0.291,45.75,1456.616
28562.10550379772,14.218011350924849,0.061,0.153,0.02,446.632,553.996,1432.189,0.036,0.0,0.045,0.325,48.864,1514.925
38243.932293787984,17.417257074980753,0.076,0.15,0.017,421.094,493.822,1434.648,0.035,0.0,0.047,0.349,45.257,1542.095
48692.97721645284,24.178291507930187,0.075,0.155,0.014,406.11,464.049,1436.43,0.035,0.0,0.044,0.362,46.066,1617.088
57838.623970262546,28.16995704491416,0.068,0.166,0.013,428.264,419.748,1439.004,0.035,0.0,0.046,0.365,52.304,1681.093
67729.01246936331,34.58915687951199,0.064,0.173,0.013,438.197,418.353,1439.045,0.035,0.0,0.049,0.362,56.031,1812.61
79132.10320739415,38.50826013805125,0.049,0.172,0.013,502.514,375.327,1438.659,0.035,0.0,0.048,0.325,44.957,1916.322
