x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179460.70882763018,0.0,0.01,0.09,0.004,0.097,0.268,0.447,0.988,0.0,0.0,0.036,0.224,345.341,1635.989
193643.29872964392,2.7362622917595925,0.016,0.102,0.004,0.113,0.376,0.476,0.992,0.004,0.0,0.007,0.253,323.027,1713.975
182726.04514534178,2.5130945945056498,0.012,0.095,0.003,0.104,0.378,0.5,0.994,0.004,0.0,0.011,0.246,315.506,2221.543
178207.6093335327,0.0,0.015,0.096,0.002,0.108,0.318,0.446,0.988,0.0,0.0,0.013,0.26,289.441,1184.747
154402.33732212157,2.5434246691982976,0.01,0.096,0.003,0.103,0.384,0.444,0.994,0.004,0.0,0.045,0.224,261.296,1121.581
160794.5617881252,2.557012632870766,0.009,0.089,0.003,0.095,0.364,0.487,0.995,0.004,0.0,0.025,0.226,298.395,1245.405
156043.42095826683,0.0,0.01,0.096,0.002,0.104,0.261,0.464,0.988,0.0,0.0,0.032,0.228,360.992,1332.994
169246.64903718294,2.5192328232086085,0.01,0.098,0.003,0.105,0.376,0.464,0.995,0.004,0.0,0.038,0.232,280.113,1171.591
219751.41935749256,3.1196664627943123,0.019,0.106,0.004,0.119,0.396,0.457,0.992,0.004,0.0,0.013,0.266,290.849,1101.835
180346.9654573266,2.557169981022943,0.013,0.093,0.004,0.102,0.411,0.464,0.993,0.004,0.0,0.016,0.245,268.003,1074.022
189436.90854233637,0.0,0.014,0.093,0.002,0.104,0.344,0.428,0.989,0.0,0.0,0.018,0.25,265.825,1021.248
159225.8011645086,2.535147193793448,0.01,0.091,0.003,0.098,0.388,0.479,0.995,0.004,0.0,0.024,0.229,266.719,1047.357
170271.82222786205,0.0,0.009,0.1,0.002,0.107,0.271,0.451,0.988,0.0,0.0,0.034,0.235,268.657,1014.611
202746.97564675374,2.5340595171741476,0.017,0.095,0.004,0.109,0.368,0.48,0.992,0.004,0.0,0.002,0.254,260.506,1021.54
158268.84173343432,0.0,0.008,0.095,0.003,0.101,0.254,0.462,0.988,0.0,0.0,0.034,0.224,246.772,993.004
188833.1255373582,2.36774525821937,0.015,0.093,0.005,0.104,0.34,0.462,0.992,0.004,0.0,0.013,0.241,262.859,959.679
199663.29537193876,0.0,0.011,0.106,0.003,0.115,0.263,0.424,0.987,0.0,0.0,0.04,0.237,317.472,1016.041
150352.95591783614,0.0,0.005,0.087,0.002,0.093,0.156,0.457,0.988,0.0,0.0,0.032,0.222,258.754,954.255
199749.98246943572,2.427788928115581,0.012,0.083,0.003,0.093,0.346,0.444,0.994,0.004,0.0,0.007,0.244,260.3,978.564
170283.13706798607,0.0,0.008,0.086,0.002,0.091,0.326,0.465,0.988,0.0,0.0,0.028,0.224,285.584,987.215
168687.68791906943,0.0,0.006,0.078,0.001,0.083,0.332,0.433,0.987,0.0,0.0,0.032,0.215,289.278,1007.51
194650.94131454392,2.573894469019607,0.012,0.1,0.004,0.109,0.397,0.483,0.992,0.004,0.0,0.014,0.243,261.549,1109.574
185748.93424299,2.4096670854314826,0.009,0.076,0.002,0.082,0.396,0.421,0.996,0.004,0.0,0.029,0.216,304.412,243345.54
193018.73397101264,2.636591265683552,0.016,0.087,0.003,0.098,0.412,0.496,0.995,0.004,0.0,0.005,0.244,395.238,1389.942
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
